,5m,10m,15m,20m
1.3,139.7,140.7,132.6,134.8
1.6,150.2,148.4,143.5,144.6
1.9,147.5,151.1,149.1,144
2.2,138,141.1,140.4,136.8
2.5,143.6,148.1,148.6,142.4
2.8,151.1,151.9,153.2,145.4
3.1,152,149.8,146,142.9
3.4,164.1,161,161.4,146.6
3.7,172.9,165.1,165.2,150
4,166.8,160.2,157.8,147.9
4.3,175.9,171,166.1,154.3
4.6,162.7,156.2,155.5,145.5
4.9,152.9,150.2,147.8,138
5.2,149.9,149.1,147.2,140.3
5.5,138.4,137.3,135.2,135
5.8,128.2,129,129.5,124.2
6.1,124.4,122,122.8,119.6
6.4,125.9,123.9,126.6,125
6.7,114.7,114.3,113.5,109.7
7,112.6,112.4,109.5,106.9
7.3,104,104.4,103.5,101.5
7.6,97.6,97.8,99.5,97.9
7.9,104.8,106.1,105,105.8
8.2,108.2,110.7,108.4,107.6
8.5,111.6,110.1,111.6,112.7
8.8,118.4,119.3,120.1,117.2
9.1,110.8,111,113.9,112.2
9.4,112.2,113.1,112.8,114.1
9.7,111.7,110.7,113.7,112.4
10,118.3,116.3,116.8,111.1
10.3,120.1,119.7,117.5,119.1
10.6,121.7,122,115,119.7
10.9,113.4,114.6,107.6,111.8
11.2,101.1,101.6,99,103.7
11.5,110.4,111,108.4,113
11.8,131,131.3,123.6,128.3
12.1,122,122,117.4,118.8
12.4,121.2,122,118.3,121.8
12.7,132.7,132.1,125.6,133.5
13,125.3,126.7,114.4,118.3
13.3,106.9,109.7,102.9,100.7
13.6,120.3,122.2,117,116.3
13.9,129.3,131.3,117.8,123.6
14.2,134,135.9,124,126.1
14.5,138.6,142,133.5,125.3
14.8,143.9,143.7,132.5,134.7
15.1,140.3,142.4,132.1,130.8
15.4,143,145.4,130.1,131.4
15.7,137.3,135.1,121,119.5
16,141.7,138.5,126,122.8
16.3,152.9,155,141.5,138
16.6,156.1,155.3,142,134.9
16.9,164.7,162,143.5,137.7
17.2,160,156.1,138.4,135.6
17.5,154,151.5,134.6,125.2
17.8,151.7,147.9,129.8,120.3
18.1,154.9,148,131.1,122.6
18.4,157.7,152.6,128.4,127.6
18.7,173,169.4,144.8,135.6
19,170.6,163.9,135.6,133.8
19.3,167,164,136.7,130.6
19.6,184.5,180.1,154.7,141.2
19.9,198.1,194.8,154.7,149.6
20.2,205.6,198.3,153.8,149.2
20.5,216.7,206.2,162.4,147.9
20.8,209.1,199,156.7,142.3
21.1,209.2,198.3,157.1,142
21.4,227.7,212.9,158.5,143.9
21.7,225.1,210.9,154,149.2
22,235.9,223.1,160.3,149.9
22.3,256.9,238.1,169.5,160.4
22.6,278.2,257.9,182.5,165.3
22.9,283.5,257.7,176.1,160.1
23.2,279.2,254.4,166.8,158.2
23.5,282.9,252.4,159.5,145.5
23.8,290.3,259.4,161.6,142.9
24.1,280.8,244.7,151.6,140.4
24.4,262.4,227.6,132.4,134
24.7,240.6,207.2,111.1,120.9
25,217.6,179.2,91.3,106
25.3,178.1,144.2,82.8,82.5
25.6,139.4,106.1,62.8,67.8
25.9,105.9,76.8,46.1,43.8
26.2,80,57.7,34,33.6
26.5,62.2,47.4,26.8,21.6
26.8,50.6,32.3,18.5,11.3
27.1,34.3,22.3,12.1,7.8
27.4,21.4,14.5,4.7,5
27.7,11.3,7.3,4,5.2
28,4.7,2.8,1.7,2.2
28.3,2.4,1.4,1.6,0.2
28.6,0.8,1.2,0.1,0
28.9,0.6,0.5,0.2,0
29.2,0.4,0.6,0.1,0
29.5,0.3,0.5,0.1,0
29.8,0.1,0.2,0,0
30.1,0.1,0.1,0.1,0
30.4,0.1,0.1,0,0
30.7,0.1,0.1,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,